,Municipio,Ano,Taxa de crimes violentos contra o patrimônio,Número de ocorrências de Latrocínio,Número de ocorrências de Roubo,Número de ocorrências de mortes acidentais no trânsito,Habitantes por policial militar,Habitantes por policial civil
0,Belo Horizonte,2000,1022.41,,99.0,525.0,175.82,594.72
1,Belo Horizonte,2001,1009.42,,99.0,629.0,176.92,608.31
2,Belo Horizonte,2002,1226.14,,99.0,581.0,178.02,622.85
3,Belo Horizonte,2003,1796.75,,99.0,576.0,179.11,632.4
4,Belo Horizonte,2004,1694.71,,99.0,608.0,180.2,649.93
5,Belo Horizonte,2005,1451.7,,99.0,596.0,181.27,603.71
6,Belo Horizonte,2006,1197.48,,99.0,708.0,182.35,595.59
7,Belo Horizonte,2007,1056.33,,99.0,670.0,183.41,611.46
8,Belo Horizonte,2008,875.97,,99.0,652.0,218.21,684.32
9,Belo Horizonte,2009,736.31,,99.0,596.0,172.55,0.0
10,Belo Horizonte,2010,663.03,,99.0,625.0,177.4,0.0
11,Belo Horizonte,2011,870.64,,99.0,609.0,179.84,721.83
12,Belo Horizonte,2012,952.08,,23100.0,542.0,205.22,0.0
13,Belo Horizonte,2013,1219.96,14.0,28110.0,368.0,184.01,631.19
14,Belo Horizonte,2014,1453.3,10.0,34460.0,399.0,183.82,551.98
15,Belo Horizonte,2015,1709.7,11.0,39553.0,150.0,217.92,556.94
16,Belo Horizonte,2016,1884.3,8.0,43997.0,143.0,206.74,589.02
17,Belo Horizonte,2017,1548.95,8.0,35827.0,259.0,206.53,576.91
18,Belo Horizonte,2018,978.95,8.0,24445.0,262.0,214.45,560.89
19,Belo Horizonte,2019,677.25,8.0,16991.0,216.0,214.63,621.03
20,Belo Horizonte,2020,440.12,4.0,11093.0,143.0,216.78,1527.29
21,Belo Horizonte,2021,315.88,4.0,7980.0,265.0,216.54,0.0
0,Betim,2000,787.8,,99.0,61.0,465.36,2129.69
1,Betim,2001,724.94,,99.0,52.0,475.37,2303.43
2,Betim,2002,854.44,,99.0,69.0,485.55,2424.07
3,Betim,2003,886.15,,99.0,106.0,495.91,2700.89
4,Betim,2004,697.51,,99.0,102.0,506.46,3178.66
5,Betim,2005,736.14,,99.0,79.0,517.2,3341.51
6,Betim,2006,722.35,,99.0,105.0,528.12,3346.46
7,Betim,2007,640.2,,99.0,112.0,539.23,2556.51
8,Betim,2008,541.34,,99.0,113.0,555.6,2648.21
9,Betim,2009,467.35,,99.0,114.0,572.46,0.0
10,Betim,2010,432.17,,99.0,95.0,638.66,0.0
11,Betim,2011,541.59,,99.0,111.0,643.58,1917.86
12,Betim,2012,697.13,,2746.0,94.0,641.53,0.0
13,Betim,2013,975.17,3.0,3597.0,59.0,678.8,2011.11
14,Betim,2014,1346.24,1.0,5090.0,76.0,659.84,2054.83
15,Betim,2015,1469.6,2.0,5688.0,25.0,716.84,2231.9
16,Betim,2016,1710.85,1.0,6807.0,12.0,758.58,2322.11
17,Betim,2017,1431.39,0.0,5766.0,64.0,701.29,2135.74
18,Betim,2018,939.99,3.0,3970.0,53.0,574.47,2288.76
19,Betim,2019,674.65,1.0,2960.0,65.0,587.35,2264.64
20,Betim,2020,401.54,2.0,1785.0,33.0,560.18,2815.09
21,Betim,2021,263.99,1.0,1186.0,59.0,568.21,0.0
0,Brumadinho,2000,56.36,,99.0,1.0,521.84,1663.38
1,Brumadinho,2001,54.98,,99.0,2.0,534.92,1818.72
2,Brumadinho,2002,89.41,,99.0,6.0,548.28,1471.7
3,Brumadinho,2003,94.21,,99.0,4.0,561.94,1685.81
4,Brumadinho,2004,61.29,,99.0,1.0,575.89,1545.81
5,Brumadinho,2005,136.22,,99.0,7.0,590.14,1770.43
6,Brumadinho,2006,136.19,,99.0,5.0,604.71,1927.51
7,Brumadinho,2007,91.78,,99.0,6.0,619.58,2633.23
