,Data,Municipio,Taxa de crimes violentos contra o patrimônio,Tipo
0,2000-01-01,Confins,0.0,dados de treino
1,2001-01-01,Confins,0.0,dados de treino
2,2002-01-01,Confins,19.69,dados de treino
3,2003-01-01,Confins,444.06,dados de treino
4,2004-01-01,Confins,473.26,dados de treino
5,2005-01-01,Confins,501.19,dados de treino
6,2006-01-01,Confins,491.48,dados de treino
7,2007-01-01,Confins,321.33,dados de treino
8,2008-01-01,Confins,105.05,dados de treino
9,2009-01-01,Confins,154.56,dados de treino
10,2010-01-01,Confins,185.31,dados de treino
11,2011-01-01,Confins,510.45,dados de treino
12,2012-01-01,Confins,406.17,dados de treino
13,2013-01-01,Confins,657.01,dados de treino
14,2014-01-01,Confins,471.7,dados de treino
15,2015-01-01,Confins,655.26,dados reais usados para o teste
16,2016-01-01,Confins,941.75,dados reais usados para o teste
17,2017-01-01,Confins,871.29,dados reais usados para o teste
18,2018-01-01,Confins,703.14,dados reais usados para o teste
19,2019-01-01,Confins,297.18,dados reais usados para o teste
20,2020-01-01,Confins,117.65,dados reais usados para o teste
21,2021-01-01,Confins,72.81,dados reais usados para o teste
22,2015-01-01,Confins,565.9038322527515,projeções obtidas
23,2016-01-01,Confins,471.69813769087534,projeções obtidas
24,2017-01-01,Confins,494.8088291665505,projeções obtidas
25,2018-01-01,Confins,434.4601167179129,projeções obtidas
26,2019-01-01,Confins,422.77552891139686,projeções obtidas
27,2020-01-01,Confins,372.48690542251177,projeções obtidas
28,2021-01-01,Confins,342.22760296548114,projeções obtidas
29,2000-01-01,Ibirité,768.92,dados de treino
30,2001-01-01,Ibirité,552.86,dados de treino
31,2002-01-01,Ibirité,640.83,dados de treino
32,2003-01-01,Ibirité,760.42,dados de treino
33,2004-01-01,Ibirité,580.47,dados de treino
34,2005-01-01,Ibirité,340.07,dados de treino
35,2006-01-01,Ibirité,232.84,dados de treino
36,2007-01-01,Ibirité,231.42,dados de treino
37,2008-01-01,Ibirité,174.6,dados de treino
38,2009-01-01,Ibirité,94.11,dados de treino
39,2010-01-01,Ibirité,70.46,dados de treino
40,2011-01-01,Ibirité,142.5,dados de treino
41,2012-01-01,Ibirité,202.46,dados de treino
42,2013-01-01,Ibirité,223.34,dados de treino
43,2014-01-01,Ibirité,349.79,dados de treino
44,2015-01-01,Ibirité,396.42,dados reais usados para o teste
45,2016-01-01,Ibirité,393.33,dados reais usados para o teste
46,2017-01-01,Ibirité,361.98,dados reais usados para o teste
47,2018-01-01,Ibirité,281.16,dados reais usados para o teste
48,2019-01-01,Ibirité,213.09,dados reais usados para o teste
49,2020-01-01,Ibirité,129.56,dados reais usados para o teste
50,2021-01-01,Ibirité,120.63,dados reais usados para o teste
51,2015-01-01,Ibirité,425.5897039053416,projeções obtidas
52,2016-01-01,Ibirité,407.47866141650115,projeções obtidas
53,2017-01-01,Ibirité,401.44460737737285,projeções obtidas
54,2018-01-01,Ibirité,347.3527007870134,projeções obtidas
55,2019-01-01,Ibirité,242.2470953985378,projeções obtidas
56,2020-01-01,Ibirité,183.3863968191324,projeções obtidas
57,2021-01-01,Ibirité,155.50025705111472,projeções obtidas
58,2000-01-01,Lagoa Santa,232.36,dados de treino
59,2001-01-01,Lagoa Santa,181.38,dados de treino
60,2002-01-01,Lagoa Santa,212.58,dados de treino
61,2003-01-01,Lagoa Santa,243.97,dados de treino
62,2004-01-01,Lagoa Santa,391.18,dados de treino
